Node ID,Node Title,Centrality Authority/resource x resource,Centrality Betweenness/resource x resource,Centrality Betweenness/resource x resource/[unscaled],Clique Count/resource x resource,Centrality Closeness/resource x resource,Centrality Closeness/resource x resource/[unscaled],Density Clustering Coefficient/resource x resource,Centrality Eigenvector/resource x resource,Centrality Eigenvector/resource x resource/[unscaled],Centrality Eigenvector Per Component/resource x resource,Centrality Hub/resource x resource,Centrality In-Closeness/resource x resource,Centrality In-Closeness/resource x resource/[unscaled],Centrality In Degree/resource x resource,Centrality In Degree/resource x resource/[unscaled],Centrality Information/resource x resource,Centrality Information/resource x resource/[unscaled],Centrality Inverse Closeness/resource x resource,Centrality Inverse Closeness/resource x resource/[unscaled],Centrality Out Degree/resource x resource,Centrality Out Degree/resource x resource/[unscaled],Simmelian Ties/resource x resource,Simmelian Ties/resource x resource/[unscaled],Centrality Total Degree/resource x resource,Centrality Total Degree/resource x resource/[unscaled],Component Members Weak/resource x resource,Label
0,1000 Years for Revenge,0.0238,0.0074,39.8116,4,0.3455,0.0033,0.6,-0.0237,-0.0168,-0.0168,0.0238,0.3455,0.0033,0.0577,6,0.0087,2.1979,0.391,40.6667,0.0577,6,0.0577,6,0.0577,6,1,0
1,Bush vs. the Beltway,0.0174,0,0.262,2,0.3032,0.0029,0.8333,-0.0174,-0.0123,-0.0123,0.0174,0.3032,0.0029,0.0385,4,0.0074,1.8574,0.353,36.7167,0.0385,4,0.0385,4,0.0385,4,1,1
2,Charlie Wilson's War,0.0168,0.0005,2.789,2,0.3095,0.003,0.6667,-0.0168,-0.0118,-0.0118,0.0168,0.3095,0.003,0.0385,4,0.0073,1.8296,0.3425,35.6167,0.0385,4,0.0385,4,0.0385,4,1,1
3,Losing Bin Laden,0.1089,0.0761,407.5535,22,0.3714,0.0036,0.2095,-0.1088,-0.0769,-0.0769,0.1089,0.3714,0.0036,0.2212,23,0.0134,3.391,0.4987,51.8667,0.2212,23,0.2212,23,0.2212,23,1,1
4,Sleeping With the Devil,0.066,0.0629,337.0448,4,0.391,0.0038,0.25,-0.066,-0.0466,-0.0466,0.066,0.391,0.0038,0.0769,8,0.0103,2.5978,0.4335,45.0833,0.0769,8,0.0673,7,0.0769,8,1,0
5,The Man Who Warned America,0.03,0.0129,68.9888,6,0.3562,0.0034,0.5238,-0.03,-0.0212,-0.0212,0.03,0.3562,0.0034,0.0673,7,0.0094,2.3645,0.4046,42.0833,0.0673,7,0.0673,7,0.0673,7,1,1
6,Why America Slept,0.0445,0.0563,301.5286,7,0.3796,0.0036,0.1818,-0.0445,-0.0315,-0.0315,0.0445,0.3796,0.0036,0.1058,11,0.0113,2.8526,0.4447,46.25,0.1058,11,0.1058,11,0.1058,11,1,0
7,Ghost Wars,0.0803,0.0687,368.0882,5,0.4078,0.0039,0.1786,-0.0802,-0.0567,-0.0567,0.0803,0.4078,0.0039,0.0769,8,0.0108,2.7182,0.4511,46.9167,0.0769,8,0.0673,7,0.0769,8,1,0
8,A National Party No More,0.1284,0.0749,401.2052,36,0.3782,0.0036,0.2533,-0.1283,-0.0907,-0.0907,0.1284,0.3782,0.0036,0.2404,25,0.0134,3.3824,0.509,52.9333,0.2404,25,0.2404,25,0.2404,25,1,1
9,Bush Country,0.0941,0.0984,527.003,17,0.4062,0.0039,0.3,-0.094,-0.0665,-0.0665,0.0941,0.4062,0.0039,0.1538,16,0.0128,3.2366,0.4894,50.9,0.1538,16,0.1538,16,0.1538,16,1,1
10,Dereliction of Duty,0.0703,0.0337,180.6681,15,0.341,0.0033,0.3048,-0.0702,-0.0497,-0.0497,0.0703,0.341,0.0033,0.1442,15,0.012,3.0187,0.4426,46.0333,0.1442,15,0.1442,15,0.1442,15,1,1
11,Legacy,0.0994,0.0293,156.838,18,0.3611,0.0035,0.2941,-0.0993,-0.0702,-0.0702,0.0994,0.3611,0.0035,0.1731,18,0.0129,3.2421,0.4707,48.95,0.1731,18,0.1635,17,0.1731,18,1,1
12,Off with Their Heads,0.1226,0.0953,510.2215,32,0.381,0.0037,0.2333,-0.1225,-0.0866,-0.0866,0.1226,0.381,0.0037,0.2404,25,0.0134,3.3789,0.5114,53.1833,0.2404,25,0.2404,25,0.2404,25,1,1
13,Persecution,0.0729,0.018,96.549,10,0.341,0.0033,0.3333,-0.0728,-0.0515,-0.0515,0.0729,0.341,0.0033,0.125,13,0.0117,2.9613,0.4345,45.1833,0.125,13,0.1154,12,0.125,13,1,1
14,Rumsfeld's War,0.0684,0.0588,315.1616,4,0.3954,0.0038,0.4167,-0.0683,-0.0483,-0.0483,0.0684,0.3954,0.0038,0.0865,9,0.0112,2.8167,0.4567,47.5,0.0865,9,0.0865,9,0.0865,9,1,1
15,Breakdown,0.0285,0.0008,4.117,3,0.2921,0.0028,0.7,-0.0285,-0.0201,-0.0201,0.0285,0.2921,0.0028,0.0481,5,0.0081,2.0385,0.3627,37.7167,0.0481,5,0.0481,5,0.0481,5,1,1
16,Betrayal,0.0174,0,0,1,0.2788,0.0027,1,-0.0174,-0.0123,-0.0123,0.0174,0.2788,0.0027,0.0288,3,0.0063,1.594,0.337,35.05,0.0288,3,0.0288,3,0.0288,3,1,1
17,Shut Up and Sing,0.0416,0.0001,0.6551,2,0.2971,0.0029,0.9,-0.0416,-0.0294,-0.0294,0.0416,0.2971,0.0029,0.0481,5,0.0086,2.1723,0.3723,38.7167,0.0481,5,0.0481,5,0.0481,5,1,1
18,Meant To Be,0.0231,0,0.262,2,0.3161,0.003,0.6667,-0.0231,-0.0163,-0.0163,0.0231,0.3161,0.003,0.0288,3,0.0067,1.6807,0.3684,38.3167,0.0288,3,0.0288,3,0.0288,3,1,0
19,The Right Man,0.0291,0.0365,195.7079,2,0.3624,0.0035,0.2,-0.0291,-0.0206,-0.0206,0.0291,0.3624,0.0035,0.0481,5,0.0085,2.1392,0.4054,42.1667,0.0481,5,0.0288,3,0.0481,5,1,1
20,Ten Minutes from Normal,0.0657,0.0262,140.4803,6,0.381,0.0037,0.4,-0.0657,-0.0464,-0.0464,0.0657,0.381,0.0037,0.0962,10,0.0112,2.819,0.4457,46.35,0.0962,10,0.0962,10,0.0962,10,1,1
21,Hillary's Scheme,0.0389,0.0001,0.6659,2,0.2963,0.0028,0.8,-0.0389,-0.0275,-0.0275,0.0389,0.2963,0.0028,0.0481,5,0.0086,2.1596,0.3707,38.55,0.0481,5,0.0481,5,0.0481,5,1,1
22,The French Betrayal of America,0.0445,0.0072,38.3348,5,0.3467,0.0033,0.3333,-0.0445,-0.0314,-0.0314,0.0445,0.3467,0.0033,0.0673,7,0.01,2.5184,0.4123,42.8833,0.0673,7,0.0577,6,0.0673,7,1,1
23,Tales from the Left Coast,0.0573,0.0019,10.4334,7,0.298,0.0029,0.5,-0.0573,-0.0405,-0.0405,0.0573,0.298,0.0029,0.0865,9,0.0104,2.6349,0.3867,40.2167,0.0865,9,0.0865,9,0.0865,9,1,1
24,Hating America,0.0683,0.005,26.5584,11,0.3574,0.0034,0.6111,-0.0683,-0.0483,-0.0483,0.0683,0.3574,0.0034,0.0865,9,0.0108,2.7204,0.4268,44.3833,0.0865,9,0.0865,9,0.0865,9,1,1
25,The Third Terrorist,0.03,0.0008,4.4726,4,0.321,0.0031,0.4,-0.03,-0.0212,-0.0212,0.03,0.321,0.0031,0.0481,5,0.0086,2.1706,0.3808,39.6,0.0481,5,0.0481,5,0.0481,5,1,1
26,Endgame,0.0632,0.006,32.0069,9,0.3549,0.0034,0.5278,-0.0631,-0.0446,-0.0446,0.0632,0.3549,0.0034,0.0865,9,0.0107,2.704,0.422,43.8833,0.0865,9,0.0865,9,0.0865,9,1,1
27,Spin Sisters,0.0644,0.0029,15.4754,8,0.3323,0.0032,0.5833,-0.0644,-0.0455,-0.0455,0.0644,0.3323,0.0032,0.0865,9,0.0106,2.6801,0.4106,42.7,0.0865,9,0.0865,9,0.0865,9,1,1
28,All the Shah's Men,0.0678,0.0038,20.5601,1,0.3421,0.0033,0.3333,-0.0678,-0.048,-0.048,0.0678,0.3421,0.0033,0.0288,3,0.0067,1.6984,0.3817,39.7,0.0288,3,0.0192,2,0.0288,3,1,0
29,Dangerous Dimplomacy,0.0237,0.0097,51.9135,2,0.349,0.0034,0.3333,-0.0237,-0.0167,-0.0167,0.0237,0.349,0.0034,0.0385,4,0.0078,1.9657,0.3894,40.5,0.0385,4,0.0385,4,0.0385,4,1,1
30,The Price of Loyalty,0.3657,0.1395,747.0455,20,0.4143,0.004,0.2684,-0.3657,-0.2586,-0.2586,0.3657,0.4143,0.004,0.1923,20,0.0134,3.3886,0.5131,53.3667,0.1923,20,0.1923,20,0.1923,20,1,-1
31,"House of Bush, House of Saud",0.2149,0.0318,170.5453,7,0.3824,0.0037,0.4,-0.2149,-0.152,-0.152,0.2149,0.3824,0.0037,0.1058,11,0.0117,2.9412,0.4482,46.6167,0.1058,11,0.1058,11,0.1058,11,1,-1
32,The Death of Right and Wrong,0.0363,0.0002,0.9762,2,0.2889,0.0028,0.8,-0.0362,-0.0256,-0.0256,0.0363,0.2889,0.0028,0.0481,5,0.0084,2.1217,0.359,37.3333,0.0481,5,0.0481,5,0.0481,5,1,1
33,Useful Idiots,0.0514,0.0013,7.1837,7,0.2946,0.0028,0.5278,-0.0514,-0.0363,-0.0363,0.0514,0.2946,0.0028,0.0865,9,0.0103,2.6027,0.3811,39.6333,0.0865,9,0.0865,9,0.0865,9,1,1
34,The O'Reilly Factor,0.0147,0.0002,1.2,3,0.2402,0.0023,0.6,-0.0147,-0.0104,-0.0104,0.0147,0.2402,0.0023,0.0481,5,0.0078,1.964,0.2988,31.0714,0.0481,5,0.0481,5,0.0481,5,1,1
35,Let Freedom Ring,0.0421,0.0084,44.7366,9,0.305,0.0029,0.3556,-0.0421,-0.0298,-0.0298,0.0421,0.305,0.0029,0.0962,10,0.0104,2.6299,0.392,40.7667,0.0962,10,0.0962,10,0.0962,10,1,1
36,Those Who Trespass,0.0274,0.0031,16.5768,2,0.2857,0.0027,0.4,-0.0274,-0.0194,-0.0194,0.0274,0.2857,0.0027,0.0481,5,0.0082,2.0709,0.3526,36.6667,0.0481,5,0.0481,5,0.0481,5,1,1
37,Bias,0.0361,0.0036,19.4895,6,0.2921,0.0028,0.5238,-0.0361,-0.0255,-0.0255,0.0361,0.2921,0.0028,0.0673,7,0.0093,2.3542,0.3699,38.4667,0.0673,7,0.0673,7,0.0673,7,1,1
38,Slander,0.0315,0.0026,14.0961,6,0.2889,0.0028,0.6667,-0.0315,-0.0223,-0.0223,0.0315,0.2889,0.0028,0.0673,7,0.0092,2.3167,0.3635,37.8,0.0673,7,0.0673,7,0.0673,7,1,1
39,The Savage Nation,0.0388,0.0061,32.8023,6,0.3041,0.0029,0.4643,-0.0387,-0.0274,-0.0274,0.0388,0.3041,0.0029,0.0769,8,0.0098,2.4737,0.384,39.9333,0.0769,8,0.0769,8,0.0769,8,1,1
40,Deliver Us from Evil,0.0923,0.0462,247.6354,23,0.3574,0.0034,0.2745,-0.0922,-0.0652,-0.0652,0.0923,0.3574,0.0034,0.1731,18,0.0126,3.1807,0.4591,47.75,0.1731,18,0.1731,18,0.1731,18,1,1
41,Give Me a Break,0.0555,0.0033,17.6898,9,0.326,0.0031,0.6429,-0.0555,-0.0392,-0.0392,0.0555,0.326,0.0031,0.0769,8,0.0101,2.5538,0.3994,41.5333,0.0769,8,0.0769,8,0.0769,8,1,1
42,The Enemy Within,0.0377,0.0007,3.79,4,0.2989,0.0029,0.5333,-0.0377,-0.0266,-0.0266,0.0377,0.2989,0.0029,0.0577,6,0.009,2.2797,0.3688,38.35,0.0577,6,0.0577,6,0.0577,6,1,1
43,The Real America,0.0248,0.0017,8.9607,2,0.2889,0.0028,0.4,-0.0248,-0.0175,-0.0175,0.0248,0.2889,0.0028,0.0481,5,0.0082,2.0766,0.3571,37.1333,0.0481,5,0.0385,4,0.0481,5,1,1
44,Who's Looking Out for You?,0.0384,0.0002,1.0652,2,0.3006,0.0029,0.8,-0.0384,-0.0271,-0.0271,0.0384,0.3006,0.0029,0.0481,5,0.0085,2.1427,0.3687,38.35,0.0481,5,0.0481,5,0.0481,5,1,1
45,The Official Handbook Vast Right Wing Conspiracy,0.0477,0.0002,1.2706,6,0.32,0.0031,0.7333,-0.0477,-0.0337,-0.0337,0.0477,0.32,0.0031,0.0577,6,0.0093,2.342,0.3833,39.8667,0.0577,6,0.0577,6,0.0577,6,1,1
46,Power Plays,0.0311,0.0427,228.9463,2,0.3355,0.0032,0.3333,-0.0311,-0.022,-0.022,0.0311,0.3355,0.0032,0.0385,4,0.0078,1.9707,0.3835,39.8833,0.0385,4,0.0288,3,0.0385,4,1,0
47,Arrogance,0.0925,0.0277,148.5255,21,0.3514,0.0034,0.2745,-0.0924,-0.0654,-0.0654,0.0925,0.3514,0.0034,0.1731,18,0.0126,3.1659,0.4588,47.7167,0.1731,18,0.1731,18,0.1731,18,1,1
48,The Perfect Wife,0.0236,0.0002,1.3385,2,0.3388,0.0033,0.8333,-0.0236,-0.0167,-0.0167,0.0236,0.3388,0.0033,0.0385,4,0.0075,1.8947,0.3744,38.9333,0.0385,4,0.0385,4,0.0385,4,1,0
49,The Bushes,0.0983,0.1036,555.1452,4,0.4078,0.0039,0.25,-0.0983,-0.0695,-0.0695,0.0983,0.4078,0.0039,0.0769,8,0.0108,2.734,0.4543,47.25,0.0769,8,0.0673,7,0.0769,8,1,1
50,Things Worth Fighting For,0.0237,0.0033,17.8265,1,0.3467,0.0033,0.3333,-0.0237,-0.0167,-0.0167,0.0237,0.3467,0.0033,0.0288,3,0.0068,1.7151,0.3814,39.6667,0.0288,3,0.0192,2,0.0288,3,1,1
51,"Surprise, Security, the American Experience",0.0277,0.0204,109.1212,3,0.3562,0.0034,0.6,-0.0277,-0.0196,-0.0196,0.0277,0.3562,0.0034,0.0577,6,0.0089,2.2535,0.3974,41.3333,0.0577,6,0.0577,6,0.0577,6,1,0
52,Allies,0.0272,0.0133,71.3731,2,0.3574,0.0034,0.4,-0.0272,-0.0192,-0.0192,0.0272,0.3574,0.0034,0.0481,5,0.0086,2.177,0.3958,41.1667,0.0481,5,0.0385,4,0.0481,5,1,1
53,Why Courage Matters,0.0477,0.0547,292.9908,2,0.3714,0.0036,0.5,-0.0477,-0.0338,-0.0338,0.0477,0.3714,0.0036,0.0481,5,0.0088,2.21,0.4087,42.5,0.0481,5,0.0385,4,0.0481,5,1,1
54,Hollywood Interrupted,0.0406,0.0002,0.9562,4,0.298,0.0029,0.8,-0.0406,-0.0287,-0.0287,0.0406,0.298,0.0029,0.0577,6,0.009,2.2795,0.3671,38.1833,0.0577,6,0.0577,6,0.0577,6,1,1
55,Fighting Back,0.021,0.0012,6.5201,2,0.3104,0.003,0.6667,-0.021,-0.0148,-0.0148,0.021,0.3104,0.003,0.0385,4,0.0074,1.8556,0.3617,37.6167,0.0385,4,0.0385,4,0.0385,4,1,1
56,We Will Prevail,0.0148,0.0035,18.9335,0,0.3077,0.003,0,-0.0148,-0.0104,-0.0104,0.0148,0.3077,0.003,0.0385,4,0.0074,1.8597,0.3546,36.8833,0.0385,4,0,0,0.0385,4,1,1
57,The Faith of George W Bush,0.0231,0.0111,59.284,1,0.3399,0.0033,0.3,-0.0231,-0.0163,-0.0163,0.0231,0.3399,0.0033,0.0481,5,0.0083,2.0861,0.3792,39.4333,0.0481,5,0.0288,3,0.0481,5,1,1
58,Rise of the Vulcans,0.089,0.0753,403.1555,8,0.4127,0.004,0.1923,-0.089,-0.0629,-0.0629,0.089,0.4127,0.004,0.125,13,0.0122,3.0692,0.472,49.0833,0.125,13,0.1058,11,0.125,13,1,1
59,Downsize This!,0.0393,0.0009,4.9679,1,0.2537,0.0024,0.6,-0.0393,-0.0278,-0.0278,0.0393,0.2537,0.0024,0.0481,5,0.0073,1.837,0.3107,32.3095,0.0481,5,0.0385,4,0.0481,5,1,-1
60,Stupid White Men,0.0896,0.0029,15.759,3,0.2744,0.0026,0.6,-0.0896,-0.0633,-0.0633,0.0896,0.2744,0.0026,0.0577,6,0.0082,2.0797,0.3425,35.6167,0.0577,6,0.0577,6,0.0577,6,1,-1
61,Rush Limbaugh Is a Big Fat Idiot,0.0371,0.0022,11.8547,1,0.2781,0.0027,0.1667,-0.0371,-0.0263,-0.0263,0.0371,0.2781,0.0027,0.0385,4,0.0069,1.7519,0.3271,34.0167,0.0385,4,0.0192,2,0.0385,4,1,-1
62,The Best Democracy Money Can Buy,0.0861,0.0022,12.049,3,0.2759,0.0027,0.6667,-0.0861,-0.0609,-0.0609,0.0861,0.2759,0.0027,0.0577,6,0.0082,2.0738,0.3457,35.95,0.0577,6,0.0577,6,0.0577,6,1,-1
63,The Culture of Fear,0.0364,0,0,1,0.2518,0.0024,1,-0.0364,-0.0257,-0.0257,0.0364,0.2518,0.0024,0.0385,4,0.0066,1.6537,0.3027,31.4762,0.0385,4,0.0385,4,0.0385,4,1,-1
64,America Unbound,0.069,0.0284,151.8949,6,0.3562,0.0034,0.3611,-0.069,-0.0488,-0.0488,0.069,0.3562,0.0034,0.0865,9,0.0104,2.6109,0.4162,43.2833,0.0865,9,0.0865,9,0.0865,9,1,-1
65,The Choice,0.0329,0.0044,23.6846,4,0.322,0.0031,0.4762,-0.0329,-0.0233,-0.0233,0.0329,0.322,0.0031,0.0673,7,0.0092,2.3138,0.3697,38.45,0.0673,7,0.0673,7,0.0673,7,1,-1
66,The Great Unraveling,0.3604,0.0652,349.287,25,0.3714,0.0036,0.2667,-0.3605,-0.2549,-0.2549,0.3604,0.3714,0.0036,0.2019,21,0.0132,3.3241,0.491,51.0667,0.2019,21,0.2019,21,0.2019,21,1,-1
67,Rogue Nation,0.0706,0.0294,157.5516,4,0.319,0.0031,0.2667,-0.0706,-0.0499,-0.0499,0.0706,0.319,0.0031,0.0577,6,0.0082,2.0771,0.3817,39.7,0.0577,6,0.0577,6,0.0577,6,1,-1
68,Soft Power,0.0381,0.0018,9.7085,1,0.325,0.0031,0.5,-0.0381,-0.027,-0.027,0.0381,0.325,0.0031,0.0385,4,0.0076,1.9077,0.3657,38.0333,0.0385,4,0.0288,3,0.0385,4,1,-1
69,Colossus,0.019,0.0105,56.3449,1,0.3133,0.003,0.6,-0.019,-0.0134,-0.0134,0.019,0.3133,0.003,0.0481,5,0.0078,1.9547,0.3529,36.7,0.0481,5,0.0385,4,0.0481,5,1,0
70,The Sorrows of Empire,0.158,0.0037,19.69,5,0.3281,0.0032,0.4286,-0.158,-0.1117,-0.1117,0.158,0.3281,0.0032,0.0673,7,0.0099,2.5073,0.397,41.2833,0.0673,7,0.0673,7,0.0673,7,1,-1
71,Against All Enemies,0.2641,0.0392,209.9275,9,0.3755,0.0036,0.2571,-0.2641,-0.1867,-0.1867,0.2641,0.3755,0.0036,0.1442,15,0.0124,3.1295,0.4587,47.7,0.1442,15,0.1154,12,0.1442,15,1,-1
72,American Dynasty,0.383,0.0909,487.0437,23,0.3939,0.0038,0.2554,-0.383,-0.2708,-0.2708,0.383,0.3939,0.0038,0.2115,22,0.0132,3.3384,0.5011,52.1167,0.2115,22,0.2115,22,0.2115,22,1,-1
73,Big Lies,0.4018,0.0432,231.3681,24,0.3502,0.0034,0.3143,-0.4018,-0.2841,-0.2841,0.4018,0.3502,0.0034,0.2019,21,0.0129,3.2612,0.4739,49.2833,0.2019,21,0.2019,21,0.2019,21,1,-1
74,The Lies of George W. Bush,0.3422,0.0153,81.8963,18,0.341,0.0033,0.425,-0.3422,-0.2419,-0.2419,0.3422,0.341,0.0033,0.1538,16,0.0123,3.0987,0.4458,46.3667,0.1538,16,0.1538,16,0.1538,16,1,-1
75,Worse Than Watergate,0.336,0.0154,82.2185,24,0.3675,0.0035,0.4583,-0.336,-0.2376,-0.2376,0.336,0.3675,0.0035,0.1538,16,0.0124,3.1245,0.4585,47.6833,0.1538,16,0.1538,16,0.1538,16,1,-1
76,Plan of Attack,0.2803,0.0803,430.0976,12,0.3969,0.0038,0.4103,-0.2803,-0.1982,-0.1982,0.2803,0.3969,0.0038,0.125,13,0.0123,3.1072,0.4671,48.5833,0.125,13,0.1154,12,0.125,13,1,0
77,Bush at War,0.1323,0.0409,218.8793,3,0.381,0.0037,0.4286,-0.1323,-0.0936,-0.0936,0.1323,0.381,0.0037,0.0673,7,0.0103,2.5916,0.4263,44.3333,0.0673,7,0.0577,6,0.0673,7,1,1
78,The New Pearl Harbor,0.1291,0.0001,0.5346,2,0.3077,0.003,0.8,-0.1291,-0.0913,-0.0913,0.1291,0.3077,0.003,0.0481,5,0.0086,2.1604,0.3644,37.9,0.0481,5,0.0481,5,0.0481,5,1,-1
79,Bushwomen,0.2091,0.0018,9.5732,6,0.3281,0.0032,0.6071,-0.2091,-0.1478,-0.1478,0.2091,0.3281,0.0032,0.0769,8,0.0103,2.5925,0.401,41.7,0.0769,8,0.0769,8,0.0769,8,1,-1
80,The Bubble of American Supremacy,0.1151,0.0001,0.6709,3,0.32,0.0031,0.5,-0.1151,-0.0814,-0.0814,0.1151,0.32,0.0031,0.0385,4,0.0078,1.9721,0.3753,39.0333,0.0385,4,0.0385,4,0.0385,4,1,-1
81,Living History,0.0915,0.0007,3.9717,1,0.2989,0.0029,0.5,-0.0915,-0.0647,-0.0647,0.0915,0.2989,0.0029,0.0385,4,0.0075,1.8995,0.3537,36.7833,0.0385,4,0.0288,3,0.0385,4,1,-1
82,The Politics of Truth,0.2521,0.0007,3.8755,8,0.341,0.0033,0.7778,-0.2521,-0.1782,-0.1782,0.2521,0.341,0.0033,0.0865,9,0.0108,2.725,0.4141,43.0667,0.0865,9,0.0865,9,0.0865,9,1,-1
83,Fanatics and Fools,0.2022,0.0039,21.1494,6,0.3366,0.0032,0.5357,-0.2022,-0.143,-0.143,0.2022,0.3366,0.0032,0.0769,8,0.0103,2.5959,0.4045,42.0667,0.0769,8,0.0769,8,0.0769,8,1,-1
84,Bushwhacked,0.4199,0.0579,310.1097,32,0.3636,0.0035,0.3004,-0.4199,-0.2969,-0.2969,0.4199,0.3636,0.0035,0.2212,23,0.013,3.2835,0.4886,50.8167,0.2212,23,0.2212,23,0.2212,23,1,-1
85,Disarming Iraq,0.0792,0.0079,42.082,3,0.3562,0.0034,0.3,-0.0792,-0.056,-0.056,0.0792,0.3562,0.0034,0.0481,5,0.0088,2.2172,0.4042,42.0333,0.0481,5,0.0481,5,0.0481,5,1,-1
86,Lies and the Lying Liars Who Tell Them,0.2676,0.0346,185.2988,11,0.3525,0.0034,0.3516,-0.2676,-0.1892,-0.1892,0.2676,0.3525,0.0034,0.1346,14,0.0118,2.9754,0.4454,46.3167,0.1346,14,0.1346,14,0.1346,14,1,-1
87,MoveOn's 50 Ways to Love Your Country,0.1217,0.001,5.3141,3,0.3006,0.0029,0.5,-0.1217,-0.086,-0.086,0.1217,0.3006,0.0029,0.0481,5,0.0084,2.1074,0.362,37.65,0.0481,5,0.0481,5,0.0481,5,1,-1
88,The Buying of the President 2004,0.14,0,0.2,2,0.3086,0.003,0.9,-0.14,-0.099,-0.099,0.14,0.3086,0.003,0.0481,5,0.0085,2.1352,0.3713,38.6167,0.0481,5,0.0481,5,0.0481,5,1,-1
89,Perfectly Legal,0.1653,0.0002,0.8167,2,0.3114,0.003,0.8667,-0.1653,-0.1169,-0.1169,0.1653,0.3114,0.003,0.0577,6,0.0091,2.3047,0.3793,39.45,0.0577,6,0.0577,6,0.0577,6,1,-1
90,Hegemony or Survival,0.1074,0.001,5.5455,3,0.3068,0.0029,0.5,-0.1074,-0.076,-0.076,0.1074,0.3068,0.0029,0.0481,5,0.0085,2.1339,0.3681,38.2833,0.0481,5,0.0481,5,0.0481,5,1,-1
91,The Exception to the Rulers,0.1609,0.004,21.2153,6,0.3104,0.003,0.4286,-0.1609,-0.1138,-0.1138,0.1609,0.3104,0.003,0.0769,8,0.0101,2.5422,0.3796,39.4833,0.0769,8,0.0769,8,0.0769,8,1,-1
92,Freethinkers,0.0939,0,0,1,0.3006,0.0029,1,-0.0939,-0.0664,-0.0664,0.0939,0.3006,0.0029,0.0288,3,0.0066,1.6675,0.3526,36.6667,0.0288,3,0.0288,3,0.0288,3,1,-1
93,Had Enough?,0.1466,0.0152,81.3787,4,0.3467,0.0033,0.5238,-0.1466,-0.1037,-0.1037,0.1466,0.3467,0.0033,0.0673,7,0.0097,2.4404,0.4069,42.3167,0.0673,7,0.0673,7,0.0673,7,1,-1
94,"It's Still the Economy, Stupid!",0.1065,0.0128,68.7054,6,0.3161,0.003,0.381,-0.1065,-0.0753,-0.0753,0.1065,0.3161,0.003,0.0673,7,0.0092,2.3196,0.375,39,0.0673,7,0.0673,7,0.0673,7,1,-1
95,We're Right They're Wrong,0.048,0.0071,38.0657,2,0.3068,0.0029,0.3333,-0.048,-0.034,-0.034,0.048,0.3068,0.0029,0.0385,4,0.007,1.7686,0.3502,36.4167,0.0385,4,0.0288,3,0.0385,4,1,-1
96,What Liberal Media?,0.1385,0.0007,3.9618,3,0.2997,0.0029,0.7333,-0.1385,-0.0979,-0.0979,0.1385,0.2997,0.0029,0.0577,6,0.009,2.2743,0.37,38.4833,0.0577,6,0.0577,6,0.0577,6,1,-1
97,The Clinton Wars,0.1408,0.0006,3.3474,3,0.2873,0.0028,0.7333,-0.1408,-0.0995,-0.0995,0.1408,0.2873,0.0028,0.0577,6,0.009,2.2584,0.363,37.75,0.0577,6,0.0577,6,0.0577,6,1,-1
98,Weapons of Mass Deception,0.1047,0.0004,1.9434,5,0.268,0.0026,0.5,-0.1047,-0.074,-0.074,0.1047,0.268,0.0026,0.0481,5,0.0083,2.0847,0.336,34.9429,0.0481,5,0.0481,5,0.0481,5,1,-1
99,"Dude, Where's My Country?",0.2194,0.0397,212.6378,7,0.3302,0.0032,0.3939,-0.2194,-0.1552,-0.1552,0.2194,0.3302,0.0032,0.1154,12,0.0111,2.7906,0.4228,43.9667,0.1154,12,0.1154,12,0.1154,12,1,-1
100,Thieves in High Places,0.2228,0.0071,38.1282,10,0.2946,0.0028,0.3333,-0.2228,-0.1576,-0.1576,0.2228,0.2946,0.0028,0.1154,12,0.0113,2.845,0.3966,41.25,0.1154,12,0.1154,12,0.1154,12,1,-1
101,Shrub,0.0883,0.0009,5.049,3,0.2857,0.0027,0.5,-0.0883,-0.0625,-0.0625,0.0883,0.2857,0.0027,0.0481,5,0.0081,2.0453,0.3463,36.0167,0.0481,5,0.0481,5,0.0481,5,1,-1
102,Buck Up Suck Up,0.0278,0.041,219.5693,2,0.3291,0.0032,0.3333,-0.0278,-0.0197,-0.0197,0.0278,0.3291,0.0032,0.0385,4,0.0071,1.7995,0.359,37.3333,0.0385,4,0.0288,3,0.0385,4,1,-1
103,The Future of Freedom,0.0066,0,0,1,0.2436,0.0023,1,-0.0066,-0.0047,-0.0047,0.0066,0.2436,0.0023,0.0192,2,0.0039,0.993,0.2761,28.7095,0.0192,2,0.0192,2,0.0192,2,1,0
104,Empire,0.0081,0.0015,8.0966,1,0.2674,0.0026,0.3333,-0.0081,-0.0057,-0.0057,0.0081,0.2674,0.0026,0.0288,3,0.0051,1.275,0.2994,31.1333,0.0288,3,0.0192,2,0.0288,3,1,0
